hz,stop,tgt,bp,bp_train,bp_test,t_test,win%,stop%,tp%,wick%,dbp,sh_train,sh_test,arm
T+1,12%,5%,77.96055258339209,94.27683767920661,51.33545113101728,2.1755254496561456,66.42417459429211,9.904868494683827,56.79910464465585,15.254237288135593,-51.46863681841812,1.61452111803617,0.6702884540349491,full
T+1,12%,8%,89.45642871158769,103.61930492312997,66.34528461381319,2.402483143162729,58.81365416899832,11.247901510912143,34.191382204812534,14.427860696517413,-39.972760690222486,1.4632118796033167,0.6548291518880968,full
T+1,12%,10%,94.7614871971365,104.84628415650144,78.30499966992542,2.6528567661239078,56.79910464465585,11.807498601007275,24.790151091214327,14.218009478672986,-34.667702204673674,1.4478695796815024,0.7046141552879162,full
T+1,12%,15%,94.25177322436511,108.2049282325038,71.48285459547306,2.2302675668983913,55.00839395635143,12.311135982092893,9.569110240626749,15.0,-35.17741617744509,1.4131329253460765,0.5449913009727523,full
T+1,12%,20%,100.05459421534152,119.67175535822211,68.04308531061153,2.0837178921324795,54.8964745383324,12.311135982092893,3.9731393396754333,15.0,-29.37459518646865,1.4807795288175822,0.5600632785786741,full
T+1,12%,0.5xEM,13.180908461516976,20.095844522337636,1.89703636226913,0.11321885915149861,81.64521544487968,6.3794068270845,79.9664241745943,18.421052631578945,-116.2482809402932,0.4707654765105974,0.20127470529666838,full
T+1,12%,1xEM,59.46553767739563,69.08408950434233,43.769874313246945,2.041290840897333,73.64297705651931,8.17011751538892,66.25629546726357,17.123287671232877,-69.96365172441455,1.2515440113512486,0.6377034943240095,full
T+1,12%,1.5xEM,66.68556111440688,73.49147073068006,55.57959961981084,2.2850135878678817,67.82316731952994,9.736989367655289,52.26636821488528,14.942528735632186,-62.74362828740331,1.2289213407013853,0.6479115370476954,full
T+1,0.25xEM,-,49.323734029620375,53.85618384270282,41.92763035819864,2.3925715817557425,17.291550083939562,82.37269166200336,0.0,47.622282608695656,-80.10545537218984,1.093904379019504,0.5344270369362024,full
T+1,0.25xEM,5%,39.638308657827935,40.88389616212975,37.60574465964472,3.602841623222748,26.021264689423617,73.69893676552883,24.622271964185785,47.760060744115414,-89.79088074398227,1.4193911154893164,1.016383768407524,full
T+1,0.25xEM,8%,47.2627417668481,50.59077625236305,41.83201686264992,3.1575958616456328,20.64913262451035,79.01510912143257,15.165081141578064,47.6628895184136,-82.1664476349621,1.3435611449752876,0.8852399017094101,full
T+1,0.25xEM,10%,50.649429231550414,54.67768285064261,44.076078701426454,3.032413896151065,19.194180190263012,80.4700615556799,10.968102965864578,47.357440890125176,-78.77976017025979,1.3539915473578392,0.8427266620052113,full
T+1,0.25xEM,15%,48.66141361832466,47.95262101145443,49.818029536457516,2.978048929865861,17.73922775601567,81.92501398992725,4.420817011751539,47.404371584699454,-80.76777578348556,1.1647611843469126,0.7708416683575641,full
T+1,0.25xEM,20%,49.99240369643282,50.62300336008708,48.96338392127973,2.8075743683529315,17.459429210968104,82.20481253497482,1.9585898153329604,47.583390061266165,-79.43678570537739,1.1351271845612891,0.720211891340775,full
T+1,0.25xEM,0.5xEM,4.954803729080711,5.750606763612202,3.656203195559519,0.47721484023766547,41.13038612199216,58.645775041969785,40.73866815892557,47.99618320610687,-124.4743856727295,0.2585657053911406,0.2819565157420925,full
T+1,0.25xEM,1xEM,28.257302587775136,29.937672460746303,25.515255725842813,2.372298725527683,32.40067151650811,67.37548964745383,30.274202574146614,47.25913621262458,-101.17188681403506,1.0048131034419507,0.6738824751306054,full
T+1,0.25xEM,1.5xEM,31.54737058302085,34.73460309513866,26.3464079564722,2.1402189686011663,27.084499160604363,72.63570229434806,22.71964185786234,47.226502311248076,-97.88181881878933,1.1198385396536177,0.6275323458207991,full
